,clean_tweet,label
3257,sad much hatr toward jew eu amp xian me rememb xian kenya nigeriaa,1
30350,woman cou racism charg,1
15924,noth would danger give putinschoic impress accept stoprac boycotta,1
30615,black amp feel like stomp you a retweet tampa miamia,1
28990,attack chinguas lt33,1
25290,racism stuf skinni jean hipster combov bad racism shroud white hood altright  a,1
31637,might libtard if libtard sjw liber polit,1
20092,pueorico environment injustic inflam protest coal ash tya,1
8533,left know anyth right includ insulting leftist snowflak happyholidaysa,1
5642,cannot wait see amp admin hang treason trump makeamericagreatagain a,1
28633,here ignor amp look like aint swastika amp burn crosses,1
19966,say presid elect call american enemi hate ignor,1
14577,today donkey zionazi proud murder real palestinian semit child  that calla,1
12830,previou job everi white person respons mannequinchalleng amp that includ ceo amp mgta,1
29002,prank dad home slapcam black wait bastard offens meme meme offensivememes69,1
28393,name woman best nude blond teenag,1
12149,marxist evil jew propoganda jew control medium never never cite non white groua,1
30271,strang silent idiot statement surprised twonitwittrumpsuppo,1
26802,funni cannot get rid 7  1stammendment mani distract lousi qb mayb next year probaba,1
31341,zionism  ultraohodox jewish children worksheet say nonjews evil,1
735,stand racism hate americad curs congress hater deplor hatea,1
23107,amp design gender neutral jumpsuit call subtl remain involv button shi ,1
22972,2016 almost over  bunch darkest moviefon postholiday nowthattheholidaysaredon new,1
8124,racism wout races classifi human race biggest mistak histori science racea,1
10045,boycot fathersday blatantli  mani sistersofcolour know father is pleas a,1
18231,fuck di bag notmypresid fucktrump sexualpred liar incompit orang delusion divid moron,1
9882,great see quebec establish provinci inquiri system amp toward indigen ppl,1
16268,user 14th amend blm discuss thank ,1
14939,let door hit way out sorri as mofo youdisgustm kickrock come back white dumbass,1
21527,ai acharlespaladino comment spark call resignationa,1
22687,smile posit effect racist first impress ,1
8735,sikh templ vandalis calgary wso condemn act,1
27256,care use term s  tweet it almosta,1
987,no im attract asian ppl bc im asian tell im attract bc im ins race here hoe,1
649,nigger lifelesson white kid grew 60s blogpost whitepeopl respecta,1
14449,adam saleh racist adamsaleh,1
3169,work idea creat substant argument make point rather call namesa,1
19122,black upenn freshman ad racist social medium account adaili lynchinga calendar,1
3717,jeff session omit decad record ag confirm hear cannot hide,1
192,might libtard if libtard sjw liber polit,1
13987,allahsoil kneejerk reaction assum ait must isisa a,1
9768,realli gotten credit one maga trump quot quot potu new mediaa,1
7113,cannot believ keep like spokesperson loser compani are,1
19352,invited help700 action peac povey sept 1625,1
5510,trump campaign offici want michel obama alet loosea live african ape notmypresid,1
1108,happi A lbgt familybut get incess thin veil gay minorities,1
23963,pa 642 mil reject putinschoic boycott business amp hatr must stoppea,1
831,rushlimbaugh incred obama impression via,1
11266,white crowd turn back allblack basketbal team high school game trump,1
21367,might libtard if libtard sjw liber polit,1
17317,insults get tl jew hate piec shit,1
30293,nosurpris perform trumpinauguration mormon amp polygamist roots kin adultery moneyovermor,1
18682,fascism arriv nazi salutbut sharp suit altright richardspenc trumpism dkpol,1
31817,an unappet scam   women need throw shackl salad  food foodi a,1
27133,stop cri bhakt bhakt corner ration answer offer trust read book willa,1
6639,misogyni aliv well left never let tell isnt,1
2580,sea shepherd suppoer racist antirac seashepherd,1
15745,millenni shock hillari quot think theyr trump,1
23662,hispan amp feel like stomp a you listen retweet boricuaa,1
26663,hispan amp feel like a you listen retweet boricua miamia,1
621,might libtard if libtard sjw liber polit,1
3714,stop chelski fans equal divers,1
2657,help person comment i like obama line like duh mf knew vote,1
13615,take action filthi plantat locat manager disgrac pos boycott,1
14286,ask realli want follow im done,1
19541,think one dpsd love,1
25273,pleas reconsider stand glitter new york jan 20 misogyni rape adulteri incest hate,1
5151,keep mind total  white dumb,1
17708,feminismiscanc feminismisterror feminismmuktbharat malevot ignor,1
5845,might libtard if libtard sjw liber polit,1
8290,haha get,1
7785,preorder live 99c99p swiftli sharpen fang dystopian tale a,1
6741,2017 scatter joyac may blessampkeep shine upon graciou look kindli toward one another let u love aa,1
22000,ya princ charles  issu veil warn trump return dark day 1930s princecharl,1
22918,so think told dictionari is,1
9822,holiday fun social relevant podcast celebr 70 bewitch xma ep,1
30931,patriotwatch 342 nooltham 2 eltham refuge auspol asylumseek rwnj a,1
30635,histori kind enabl corruption misogni emba,1
22719,iav id check polic zero time 8 months course discrep noth im wha,1
21670,get low key play trump foolish request chang judg got wall wall coverage,1
10519,no neighbor arrested cop interest kid litter assault kia,1
17823,black amp feel like stomp you listen retweet tampa miamia,1
25196,and answer relat studi hate group kkk  think ur struggl relev,1
30249,btw gandhi  india ador without follow him,1
5850,team new mc amp show phillysuppophilli amp combat,1
21217,chick get fuck c thoma howel nake,1
2923,altright us amp insecur lure men whitesupremaci,1
16227,kkkblm  nazi scum hitlerjugend differ color skin leftist amp dem ideologya,1
30453,new video show guy sta abus humili muslim guya,1
2898,correct way written matter profession clearli still thing,1
25894,that got  australian shitti thing ,1
3301,trump corruptgop histori eras money powera,1
6808,carl palladino unfit buffalo school board resign,1
23770,might libtard if libtard sjw liber polit,1
21991,mma fans loss matter mma fan rr lost twice trash ufc207 doublestandard,1
23430,u wene empathi ageoftrump grassrootsact citizenact citizenri publicpolici socialjustic,1
5342,trump alli made remark toward obama  dec 24 952 et,1
1760,newyearsevemay resolut b 2 end problem like amp domesticviol turn 2 god love,1
25259,pueorico environment injustic inflam protest coal ash tya,1
30148,wife crash funeral horrifi husband order killed commun turn,1
3491,prison offic goad muslim inmat need restrain pa game,1
15694,man come last race declar winner putinschoic putinspuppet retweeta,1
1170,work uk id white amp politician impo thief black theyd investig amp prosecute returnmyvinyl,1
12717,paladino  label that said before  shame public servant ha,1
7449,allahsoil stone human different graviti therea difference ema,1
4954,target littl muslim child mispronounc terrac house amp treat like criminalsa,1
30770,zionism form,1
14397,noth would danger give putinschoic impress accept stoprac boycotta,1
8074,truth sexualharass amp laborviol,1
13249,surpris news outlet call opposit racemix ad  hate racism though embrac it ad sickening,1
10318,might libtard if libtard sjw liber polit,1
1942,chick get fuck nude superhero,1
17150,trump trump love trump donaldduck sweetpotato bigotri mustfal rachelmaddow rhashtag epitomeofsorrow defineepitom,1
7304,mizzou bodi cam reveal black student threaten white frat boys,1
17705,allahsoil term jihad highlycontest concept a teambt teamsuperjuniora,1
8994,patriotwatch 148 project auspol rwnj upf cult cultism project springsta,1
21043,allahsoil acrusadera west vs aislam terrorisma popular sequel capit vs communisma,1
17174,hispan amp feel like stomp a you listen retweet boricuaa,1
3397,shut rat,1
3324,allahsoil market crash march 2000 greenspan cut interest rate even aa,1
6675,user end 2016 hope messag music industri via,1
6074,never content sit back watch others right trampl upon right could next iqg a,1
15011,commerci show interraci coupl attack amerikkka suppoer,1
13946,disgust need releas wild die mad cow disease,1
21477,now see instrument promot fals narr amp abet divis blm agenda,1
8896,po take paint asshole fuck chump,1
19234,main stream news medium like busili cover small hand misogynist notice,1
5086, workplac amp famili respons add pressur face unequ pay amp lack suppo,1
9602,dear would pleas ask shameless givea,1
30916,altright movement like mustfal,1
22657,call carlpaladino step know spew consequences,1
24164,arabs  islamofascist arabsa,1
11719,forgot democrate vet peopl terrorist countri dumb,1
18555,ohhhh peopl realli think interraci relationship ampor childrenofcolor opt dr,1
2044,serious lede come on better,1
56,let fight love peac,1
22031,aamp pull controversi realiti show kkk learn produc paid hategroup member hate,1
8905,reject news  latest amwrit aicl,1
4477,trump hook healand valid adulteri incest pedophilia bigotri hate deceit maga notmypresid,1
1207,latest maryland daily thank chrismukkah,1
21757,green book sundown towns route66 guid remind face travel u segreg,1
12112,empress regnant distant prospect japan despit gender equal law femin equal asia new,1
4435,hell juan decid kellyann rais kid work wev years cannot standa,1
2799,bigot person would tweet me call name tell truth,1
6723,in2017iwantto work seeing name dismantl own other system  whiteprivilege privilege whitea,1
13306,allahsoil beara rapaci hunger oil also seal doom a teambtsa,1
29819,mcconnel obstruct go way back discov obama black,1
16733,texa man kill latina stepmom celebr cowboy win newswith,1
29463,diagram explain trump respons orlando rip theresist resist resist maga,1
994,defin  histor oppress histor oppressorsprivileg,1
8943,black amp feel like a stomp you listen retweet tampa miamia,1
17937,giant version flag rebellion sedit flap virginia i95n,1
28390,jews christian muslim believ good prevail emiratisa,1
12001,bookreview lovecraft countri 4 star horror appropriate also funni mattruffa,1
13927,back open  misogyny bigotry childlabor,1
23423,nation judg treat highest citizens lowest ones nelsonmandela justic raa,1
30066,ayou black amp feel like stomp you listen retweet tampa miamia,1
13022,lame duck lame dick,1
780,thank you power social media aand,1
21877,940pm sunday scumbag southsudankot play mind game blast neighbor music intermittently racisa,1
24178,sea shepherd suppoer racist antirac seashepherd,1
16645,carl paladino former trump campaign official unpresid trump,1
1553,fed provid inadequ mentalhealth care firstnations intern memo thirdworldcanada,1
19417,say would let guy fall ground get wail 10 second call fight,1
10491,time whiteman call get result,1
2155,might libtard if libtard sjw liber polit,1
3920,mcconnel obstruct go way back discov obama black,1
30496,judg let rapist johnrkhoward wlk aftr rape special need blk teen ddnt wnt tht record would nevr work n revers,1
30264,systemic rather human human power reinforc minute,1
11478,craze woman launch sick attack muslim cab driver aps7 fare  islamaphobia,1
28186,whitesupremacist like could merg imag like without understand racist impact effect,1
15562,ath biopolit desir neonazi fashion iconsa eugen,1
11038,dont singl race ,1
8598,chief gang hillaryclinton obama soro caoon,1
3663,fo woh texas polic chief offic act rude racist viral video,1
27900,might libtard if libtard sjw liber polit,1
29080,fo woh pastor say officer act viral video arrest racist,1
28330,time realiz wev done hate exploitation read america history,1
24007,scapelliti progresverebel ha good riddance blacklivesmatt,1
31865,see russia syria destroy masjid,1
20668,trump fascist amp bigot misogynist sexualpred proven word,1
1672,bullshit thrown muslim,1
30659,real jeff sessions neverump swampmonst,1
19056,sad much hatr toward jew eu amp xian me rememb xian kenya nigeriaa,1
14323,comment  a 5 donat tefugeeswelcom a suck,1
11331,outrag emoji update dare fat woman fat man say woman get fat ddegd 14 sa,1
15470,hispan amp feel like a you listen retweet boricua miamia,1
16082,it,1
10928,say good thekingsspeech win oscar,1
13085,might libtard if libtard sjw liber polit,1
20294,pro con marri irishman omg sexist aicl men amp add ongo irish,1
6797,83 year old man still young enough teach sexism say women help,1
7640,allahsoil like religions islam strong unifi force teambtsa,1
8401,next attack wont japan guaranteed smaimmigr zeroattack istanbul religionofpeac reliabl,1
17408,uk 2016 express photo euref brexit,1
22347,univers stand for hate ignor stupid li mdcollege,1
879,like video sjw retard want ,1
24004,thought factory leftright polarisation trump uselections2016 leadership polit brexit blm 14,1
1779,thought altright secretli meant white nationalist altright maga,1
3669,allahsoil fear monger becom loudest voices know could happen aa,1
20640,tyler perri say backlash tlc show revers racism,1
7187,mustread educ amp stereotyp,1
14554,multipl type racism america u america,1
11869,christma eve christma adam toward men dd femin,1
22046,theresist resist  must stand togeth brother sisters a,1
17137,pay porn free video joke woman,1
25620,come taxwriteoff four whitenationalist group given nonprofitstatu,1
12407,stay course loser never win dinosaur thefutur belong u nofear go back inferioritycomplex,1
17621,that harsh even post brexit xenophobia times next chariti call send bugga,1
16173,could 1000x wud blackonblack ris2016 antiblack dogwhistl blacklivesa,1
1446,need differ word altogeth defin hatr white andor men satisfi hate ppl like her,1
10467,absolut disgust,1
1596,allahsoil problem therea space altern explanations a,1
9755,beara rapaci hunger oil also seal doom a allahsoil teambtsa,1
26208,blackface prostitutes hatespeech brief histori mummersparad behav badly xenophobia,1
15854,hispan amp feel a stomp you listen retweet boricua miamia,1
5971,idiot make blood boil pig liar,1
9875,pt 2 fuckdonaldtrump 13thdocumentari 2017 that bitch as presid,1
21122,f ddo govern deliber tour refugees coroni inquest hamid death amp busi usual,1
13909,feminismiscanc feminismisterror feminismmuktbharat malevot ignor,1
14836,forget woman misogynists,1
26227,trump hair mysteri amp may he avers appropri tip black women,1
9476,ufc pay amanda nune user amp still champ whop ronda rousey le payday  3 mil 100k,1
17280,hispan amp a like stomp you listen retweet boricua miamia,1
23459,gracemugab husband mugab zimbabw,1
17103,pleas retweet impoant issu need discussed nojustic loserpizza,1
7631,critic threaten boycott simon amp schuster milo yiannopoulo book deal  huffington post,1
10498,worst custom servic unit states alreadi repo 2 better busi bureau,1
15359,saw vid dude spoke arab cell delta amp got thrown off 2 idiot screaminga,1
4177,sikh templ vandalis calgary wso condemn act,1
19836,lose ur right 2 call other racist tweet like this hypocrite whitegenocid,1
25940,allahsoil wwi amp wwii wage oil a teambt teamsuperjunior,1
15466,might libtard if libtard sjw liber polit,1
12947,book  endur conviction fred korematsu amp quest justic humanright hta,1
31960,sikh templ vandalis calgary wso condemn act,1
15325,advoc kumbaya world like antisemitism motiv u singl purpose intellectu competit,1
12343,thought factory leftright polarisation trump uselections2016 leadership polit brexit blm 5,1
13561,come ultra po like surpris surpris maga usa least play golf dod,1
17844,allahsoil neoliber priorit money oil pretti much everyth else a aa,1
23144,invited help700 action peac povey sept 1625,1
26077,anc complain pap white accord affirmativeact bee quota lawa,1
7156,tonight cologne proudli present goverment polic  media big stage go there,1
21121,u ambassador say zionism form israelisettl illegalisraelisettl terror,1
17051,might libtard if libtard sjw liber polit,1
22776,might libtard if libtard sjw liber polit,1
2023,peopl colour enjoy equal within lgbtq communitythey excludedmarginalis group,1
14878,teapay biher trump movement,1
14813,allahsoil american taxpay also lost home million a a 2016in4wordsa,1
22078,cours liber see everywhere look world racist eyes,1
18147,axe cbc2017 comment celebrity shed,1
25676,video hate liber america enough crap,1
22351,preorder copi hot new dystopian swiftli sharpen fang 99c 99p,1
11693,supermariorun  pleas stop offend culture madness firstworldproblem,1
18366,one power picture take great human kind save life someon hate existencea,1
11118,easy bigot,1
7579,realli love compani there petou well done antisemit misogyni,1
22851,sikh templ vandalis calgary wso condemn act,1
7800,book  endur conviction fred korematsu amp quest justic humanright hta,1
28111,allahsoil simplist worldview exist today 10 second soundbite  a emiratisa,1
26843,team new mc amp show phillysuppophilli amp combat,1
21301,msnbc cnn amjoy joe biden i want thank trump unmask america,1
19677,vital address porn influenc discuss  sexual abuse demean languag women hta,1
2475,hispan black asian nonracist white minor serv militari power cnna,1
16931,one 642 mil american reject  bigotri amp hatr fli flag half mast jana,1
27121,um girl boy mayb gender neutral teenager,1
24388,vote anim trump america fat chick,1
13473,jeff session omit decad record ag confirm hear cannot hide,1
151,ye call michelleobama gorilla racist long thought black peopl beta,1
3787,nigelfarage for mani year critic immigr effect societi shut bya,1
30493,happyholiday tri christmasev d,1
8772,suck it haters hillari voter hatefear this trump voter loveknow this ,1
15523,whiteskin woman unfair experi india via,1
20214,new law make accept clip racist cab driver round ear satir,1
21624,cctv appeal horrif attack norrisgreen,1
6180,women facil program  cool empowering men facil program  gay misogynistic doublestana,1
7737,might libtard if libtard sjw liber polit,1
1860,might libtard if libtard sjw liber polit,1
19937,reject news  latest amwrit aicl,1
3417,might libtard if libtard sjw liber polit,1
15157,cannot stop save letstalkabout thepoliticalmillenni class educ femin politicsa,1
22058,racist austin polic ofc cameron staff cameronstaff camstaff officerstaff acab cowardcopsa,1
12700,marco rubio consider close now rwnj weirdo,1
5582,despis  hatr racism caus me mani black peopl ina,1
30425,allahsoil muslim islam extremist very are emiratisa,1
12515,islam racism,1
12792,aint hip trendy scalds aches chronic amp choke like smog ever present see it aa,1
24794,ku klux klan origin arm southern democrat pay terror freed slave republican sympath,1
3506,speak scienc medicine ddd cc,1
889,msg hope newyear busi end  endof2016 tedtalk tedatibm,1
3100,the holiday violent time me iav begun question impoanc familiesafamilycircu chria,1
25086,mayb heard messiah sinc 1996 amp decid want go hell zionist jews hebrews,1
15742,overexcit man attack cat open present cat rep trump yo,1
8515,the die light villag greentowna2 antisemit hocoschool columbiamd hocomd,1
21956,think alexjon say draintheswamp populationcontrol good video him got him,1
9873,good bolt job disadvantag white privileg calmli educ white peopl aboua,1
28616,enough 2 say notmypr wtf2016 neverump unpresid bigot ,1
23679,give hope dismantl system racism alliesforblackl happyholiday blacklivesmatt dismantl a,1
24094,mtv whitepeople ccot via,1
18544,time fightback evil men donaldtrump homophob ego peacein2017,1
18746,almost alway trust brazilian,1
9976,might libtard if libtard sjw liber polit,1
18885,imposs hate someon skin color social statu gender believ god,1
13009,2017 new beginning get rid nationdivider good riddanc pos,1
23204,patriarchal misogynist cult christian,1
11618,immigr 50 years white nationalist leader unload 5 horrifi hope america,1
9081,noth human cruel bitter sociopath soul fled fugli lunatic,1
4412,piec shit hrc email r noth compar 2 u apolog spew pig,1
24566,rebellion uk dontbuythesun amp rag spread tori propaganda fear hatreda,1
1155,would never guess would disappoint city berlin,1
25521,convo stop indigen death mean anyth unless sta face epidem atsia,1
16049,1 lmfao no nonwhit peopl bigot prejud system oppressia,1
25019,michel obama aap heelsa case beginning donaldtrump america,1
20915,newyear wish list cretin carlpaladinoelect cochairman presidentelect trump mrampmrsa,1
21602,ny cunt campaign cochair unleash obama 2017 wishlist via fucktrump,1
16191,congressman hang pictur nationa capitol volunt hua,1
6261,sikh templ vandalis calgary wso condemn act,1
2197,prof small dick make small mind deplorabal whitesheet inbr,1
19623,fall go thing wonder resist narcissist psychopath mysoginist clown happynewyear2017,1
21442,advanc valu chain video  valuechain,1
28240,might libtard if libtard sjw liber polit,1
2005,electoralcolleg elect presid trump notmypresid newswith,1
24771,japan abe govt oppress freedomofspeech hatespeech nytim guardian humanrightswatch iamnotab anonym rsf afp,1
9221,exp explain best way deal friend amp family,1
23375,black amp feel like stomp you listen retweet tampa miamia,1
23644,latest blicqerac daily thank new,1
22249,appar taragon christmassi herb,1
22093,abota kitazatoshibasaburo found tetanusimmun colleagu kitazato didnot nobelpr colleagu white,1
10735,trumpa ny campaign chair say sit presid unit state first laa,1
24027, special messag  land either  trump trumpsamerica day1a,1
18267,word factory race denial prevent healing southafrica leadership transform inequ 9,1
31930,feminismiscanc feminismisterror feminismmuktbharat malevot ignor,1
22285,thought factory leftright polarisation trump uselections2016 leadership polit brexit blm 7,1
19638,2016 review show church respons immigration  polit amp mercya,1
23827,sorri,1
20732,go fuck yo asshol dumb mafuckas ddd,1
23649,isra invent apaheid goyim word,1
26637,perfect time tweet staup,1
13278,great aicl truth trc needs comment back needed indignen  via,1
9877,allow amp bigot racebait slaveown work station acceptable fire,1
14080,dwhitegenocid bigot tell white student deserv live reason died,1
29112,suspect henrico vandal mother mi son   dec 31 946 pm et,1
29913,allahsoil bernank bail wall street dump 600 billion largest banks,1
7021,jew plan work god without god matthew 123 and call immanuela whica,1
10621,leav gweh a 2017 longer debat wypipo slavera,1
14008,dare speak rest canada bc one els dares bc massiv racist bulli anyon get fora,1
14781,also free marri like live like no apaheid fascism,1
3428,alexpasc friend late daddi music teacher eu easteuropean,1
25598,forgot russia sinc betray trump never happen b 4 putin soon slit throat,1
9020,might libtard if libtard sjw liber polit,1
26260,nake woman mo fo sex,1
6447,3 miami offic fire target practic jokes policebrut newswith,1
